GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QueueProcessor,hn.com.tigo.queue.listener,ProcessQueueDaemonThread,102,0,2,0,21,0,5,0,4,0
QueueProcessor,hn.com.tigo.queue.listener,NewRelicImpl,25,0,0,0,16,0,4,0,4,0
QueueProcessor,hn.com.tigo.queue.listener,ProcessQueueMasterThread,239,668,31,41,50,134,24,28,4,8
QueueProcessor,hn.com.tigo.queue.listener.entity,OcepManager,23,0,0,0,8,0,2,0,2,0
QueueProcessor,hn.com.tigo.queue.listener.entity,ParametersEntity,88,0,4,0,21,0,5,0,3,0
QueueProcessor,hn.com.tigo.queue.context,AppCommand,68,0,4,0,13,0,8,0,6,0
QueueProcessor,hn.com.tigo.queue.context,Context,18,0,0,0,9,0,6,0,6,0
QueueProcessor,hn.com.tigo.queue.utils,States,9,49,0,0,0,5,2,2,2,2
QueueProcessor,hn.com.tigo.queue.utils,QueueConstantListener,6,0,0,0,2,0,2,0,2,0
QueueProcessor,hn.com.tigo.queue.utils,ReadFilesConfig,60,67,14,6,13,19,9,5,1,3
QueueProcessor,hn.com.tigo.queue.dto,NotifyMessageDTO,24,35,0,0,8,17,8,9,8,9
QueueProcessor,hn.com.tigo.queue.dto,DetailQueueDTO,18,27,0,0,6,13,6,7,6,7
QueueProcessor,hn.com.tigo.queue.dto,ParametersDTO,38,0,0,0,17,0,11,0,11,0
QueueProcessor,hn.com.tigo.queue.dto,ConfigEventDTO,11,6,0,0,5,2,3,2,3,2
QueueProcessor,hn.com.tigo.queue.dto,AttributeValuePair,6,11,0,0,2,5,2,3,2,3
QueueProcessor,hn.com.tigo.queue.dto,DetailEventDTO,37,15,0,0,17,5,10,5,10,5
QueueProcessor,hn.com.tigo.queue.dto,DetailSubEventDTO,24,0,0,0,10,0,7,0,7,0
QueueProcessor,hn.com.tigo.queue.dto,DTO,3,0,0,0,1,0,1,0,1,0
QueueProcessor,hn.com.tigo.queue.dto,ConfigQueueDTO,10,0,0,0,4,0,3,0,3,0
QueueProcessor,hn.com.tigo.queue.as400,AbstractDriverQueue,102,0,2,0,28,0,7,0,6,0
